Species,Lon,Lat
Artibeus lituratus,-72.481889,7.156972
Artibeus lituratus,-76.145847,5.340692
Artibeus lituratus,-76.1892,5.359633
Artibeus lituratus,-74.450185,4.642666
Artibeus lituratus,-74.450185,4.642666
Artibeus lituratus,-74.451164,4.643307
Artibeus lituratus,-75.793583,5.250639
Artibeus lituratus,-75.532386,5.066328
Artibeus lituratus,-76.740861,5.481611
Artibeus lituratus,-76.740861,5.481611
Artibeus lituratus,-80.116644,-3.548315
Artibeus lituratus,-76.777576,-0.597557
Artibeus lituratus,-75.663889,4.844833
Artibeus lituratus,-75.764677,5.370772
Artibeus lituratus,-75.77581,5.33562
Artibeus lituratus,-75.77581,5.33562
Artibeus lituratus,-104.516333,21.993733
Artibeus lituratus,-104.516333,21.993733
Artibeus lituratus,-104.516333,21.993733
Artibeus lituratus,-75.698618,4.798556
Artibeus lituratus,-75.699103,4.798058
Artibeus lituratus,-75.493972,5.306556
Artibeus lituratus,-61.71544,12.09142
Artibeus lituratus,-61.73545,12.10534
Artibeus lituratus,-75.023383,4.883416
Artibeus lituratus,-72.525694,7.804722
Artibeus lituratus,-72.525694,7.804722
Artibeus lituratus,-75.038556,5.502139
Artibeus lituratus,-72.500556,7.864444
Artibeus lituratus,-72.500556,7.864444
Artibeus lituratus,-72.500556,7.864444
Artibeus lituratus,-72.501833,7.858833
Artibeus lituratus,-72.525083,7.805564
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-75.718861,1.414639
Artibeus lituratus,-76.0035,1.337917
Artibeus lituratus,-75.998167,1.340722
Artibeus lituratus,-76.00375,1.337083
Artibeus lituratus,-75.999333,1.340389
Artibeus lituratus,-75.999333,1.340389
Artibeus lituratus,-75.999333,1.340389
Artibeus lituratus,-76.52914,3.34166
Artibeus lituratus,-75.046,5.491278
Artibeus lituratus,-76.52914,3.34166
Artibeus lituratus,-75.671028,4.893528
Artibeus lituratus,-75.6095,1.66995
Artibeus lituratus,-75.6078,1.665233
Artibeus lituratus,-75.604817,1.67165
Artibeus lituratus,-75.604817,1.67165
Artibeus lituratus,-75.604817,1.67165
Artibeus lituratus,-75.604817,1.67165
Artibeus lituratus,-75.61025,1.665317
Artibeus lituratus,-75.604817,1.67165
Artibeus lituratus,-75.604817,1.67165
Artibeus lituratus,-75.604817,1.67165
Artibeus lituratus,-75.604817,1.67165
Artibeus lituratus,-75.463261,1.520781
Artibeus lituratus,-75.460572,1.520119
Artibeus lituratus,-74.090861,6.402694
Artibeus lituratus,-75.494518,5.056126
Artibeus lituratus,-75.494518,5.056126
Artibeus lituratus,-77.966764,8.36799
Artibeus lituratus,-77.948533,8.402807
Artibeus lituratus,-77.965894,8.367965
Artibeus lituratus,-77.965894,8.367965
Artibeus lituratus,-78.046368,8.36227
Artibeus lituratus,-77.965894,8.367965
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-74.096391,6.782728
Artibeus lituratus,-74.096391,6.782728
Artibeus lituratus,-86.903006,20.843025
Artibeus lituratus,-77.356811,6.275306
Artibeus lituratus,-77.356811,6.275306
Artibeus lituratus,-68.470336,5.611263
Artibeus lituratus,-76.5775,2.476389
Artibeus lituratus,-76.5775,2.476389
Artibeus lituratus,-76.5775,2.476389
Artibeus lituratus,-76.5775,2.476389
Artibeus lituratus,-77.244167,8.121389
Artibeus lituratus,-40.599716,-19.935798
Artibeus lituratus,-74.670527,0.163388
Artibeus lituratus,-74.670527,0.163388
Artibeus lituratus,-74.670527,0.163388
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-79.36106,-0.58884
Artibeus lituratus,-79.36106,-0.58884
Artibeus lituratus,-79.36106,-0.58884
Artibeus lituratus,-79.36106,-0.58884
Artibeus lituratus,-79.36106,-0.58884
Artibeus lituratus,-75.648347,4.924667
Artibeus lituratus,-75.648347,4.924667
Artibeus lituratus,-54.82355,5.09464
Artibeus lituratus,-54.7499,5.09072
Artibeus lituratus,-54.7499,5.09072
Artibeus lituratus,-78.95243,-0.3206
Artibeus lituratus,-74.096391,6.782728
Artibeus lituratus,-74.096391,6.782728
Artibeus lituratus,-74.096391,6.782728
Artibeus lituratus,-74.096391,6.782728
Artibeus lituratus,-74.096391,6.782728
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-76.40799,-0.67491
Artibeus lituratus,-76.39397,-0.67777
